Startzeit des Zyklus,Endzeit des Zyklus,Zeitzone des Zyklus,Startzeit des Trainings,Endzeit des Trainings,Dauer (Min.),Name der Aktivität,Aktivitätsbelastung,Verbrannte Energie (cal),Max HF (Schläge pro Minute),Durchschnittliche HF (Schläge pro Minute),HF-Zone 1 %,HF-Zone 2 %,HF-Zone 3 %,HF-Zone 4 %,HF-Zone 5 %,GPS aktiviert
2026-04-05 01:43:59,2026-04-06 01:06:03,UTC+02:00,2026-04-05 22:04:54,2026-04-05 22:22:51,17,Funktionelles Training,6.4,136.0,163,133,70,25,2,0,0,false
2026-04-05 01:43:59,2026-04-06 01:06:03,UTC+02:00,2026-04-05 21:02:14,2026-04-05 22:04:50,62,Laufen,14.5,723.0,201,151,19,57,10,4,10,false
2026-04-05 01:43:59,2026-04-06 01:06:03,UTC+02:00,2026-04-05 19:35:11,2026-04-05 20:25:19,50,Spazieren,12.0,449.0,194,139,77,3,2,10,8,false
2026-04-05 01:43:59,2026-04-06 01:06:03,UTC+02:00,2026-04-05 17:21:00,2026-04-05 17:35:59,14,Aktivität,6.8,144.0,181,142,44,28,15,10,0,false
2026-04-04 03:10:59,2026-04-05 01:43:59,UTC+02:00,2026-04-04 16:47:12,2026-04-04 18:19:07,91,Spazieren,5.1,176.0,132,97,10,0,0,0,0,false
2026-04-04 03:10:59,2026-04-05 01:43:59,UTC+02:00,2026-04-04 10:32:28,2026-04-04 11:37:24,64,Trailrunning,16.8,916.0,200,163,1,19,32,20,28,false
2026-04-04 03:10:59,2026-04-05 01:43:59,UTC+02:00,2026-04-04 10:18:16,2026-04-04 10:31:57,13,Laufen,6.8,139.0,153,142,3,87,6,0,0,false
2026-04-01 00:32:34,2026-04-02 01:15:51,UTC+02:00,2026-04-01 08:09:02,2026-04-01 08:13:40,4,Laufen,4.6,36.0,152,132,32,61,0,0,0,false
2026-03-31 00:47:32,2026-04-01 00:32:34,UTC+02:00,2026-03-31 19:57:00,2026-03-31 20:49:29,52,Aktivität,6.8,248.0,143,118,79,0,0,0,0,false
2026-03-31 00:47:32,2026-04-01 00:32:34,UTC+02:00,2026-03-31 16:08:18,2026-03-31 17:00:09,51,Gewichtheben,11.3,181.0,159,110,54,2,0,0,0,false
2026-03-30 01:48:30,2026-03-31 00:47:32,UTC+02:00,2026-03-30 17:14:02,2026-03-30 18:07:27,53,Laufen,13.0,584.0,166,147,10,53,36,1,0,false
2026-03-29 01:58:29,2026-03-30 01:48:30,UTC+02:00,2026-03-29 11:01:15,2026-03-29 12:04:21,63,Laufen,11.2,549.0,160,137,72,28,0,0,0,false
2026-03-28 02:45:27,2026-03-29 00:58:29,UTC+01:00,2026-03-28 12:19:30,2026-03-28 13:17:29,57,Kraftdreikampf,13.4,297.0,162,119,37,15,7,0,0,false
2026-03-26 00:00:00,2026-03-27 00:30:08,UTC+01:00,2026-03-26 22:37:30,2026-03-26 23:50:59,73,Spazieren,8.1,364.0,145,113,84,1,0,0,0,false
