Startzeit des Zyklus,Endzeit des Zyklus,Zeitzone des Zyklus,Erholungswert %,Ruheherzfrequenz (Schläge pro Minute),Herzfrequenzvariabilität (ms),Hauttemperatur (Celsius),Blutsauerstoff %,Tagesbelastung,Verbrannte Energie (cal),Max HF (Schläge pro Minute),Durchschnittliche HF (Schläge pro Minute),Beginn des Schlafs,Beginn des Aufwachens,Schlafleistung %,Atemfrequenz (Atemzüge/Min.),Schlafdauer (Min.),Dauer im Bett (Min.),Dauer des Leichtschlafs (Min.),Dauer des Tiefschlafs (Min.),Dauer des REM-Schlafs (Min.),Dauer des Aufwachens (Min.),Schlafbedarf (Min.),Schlafdefizit (Min.),Schlafeffizienz %,Schlafbeständigkeit %
2026-04-12 02:20:21,,UTC+02:00,24,75,27,33.85,93.65,,,,,2026-04-12 02:20:21,2026-04-12 10:18:25,64,17.4,459,478,173,122,164,19,622,127,96,65
2026-04-11 01:42:18,2026-04-12 02:20:21,UTC+02:00,41,72,38,34.73,93.60,13.8,2561,166,91,2026-04-11 01:42:18,2026-04-11 08:23:21,78,17.3,389,401,163,128,98,12,596,127,97,82
2026-04-10 01:10:51,2026-04-11 01:42:18,UTC+02:00,38,66,38,34.45,94.70,5.2,1869,132,80,2026-04-10 01:10:51,2026-04-10 06:55:32,72,17.1,340,344,133,131,76,4,576,106,98,71
2026-04-09 01:00:28,2026-04-10 01:10:51,UTC+02:00,43,66,39,34.44,91.27,6.2,1921,132,77,2026-04-09 01:00:28,2026-04-09 08:20:15,81,16.9,431,439,171,124,136,8,596,127,98,75
2026-04-08 02:23:16,2026-04-09 01:00:28,UTC+02:00,25,70,31,34.68,92.82,5.4,1744,129,80,2026-04-08 02:23:16,2026-04-08 09:11:13,79,17.1,396,407,140,135,121,11,605,127,97,78
2026-04-07 03:11:46,2026-04-08 02:23:16,UTC+02:00,33,66,48,34.81,92.33,10.1,2088,143,84,2026-04-07 03:11:46,2026-04-07 08:05:02,58,15.8,285,293,114,107,64,8,588,116,97,78
2026-04-06 01:06:03,2026-04-07 03:11:46,UTC+02:00,14,76,24,34.74,93.28,7.9,2201,140,78,2026-04-06 01:06:03,2026-04-06 08:37:04,61,16.9,426,451,184,126,116,25,659,127,94,79
2026-04-05 01:43:59,2026-04-06 01:06:03,UTC+02:00,47,65,60,34.22,92.38,19.1,3783,201,88,2026-04-05 01:43:59,2026-04-05 07:50:39,66,16.6,354,366,144,105,105,12,659,127,97,78
2026-04-04 03:10:59,2026-04-05 01:43:59,UTC+02:00,31,66,45,34.58,93.60,19.2,3085,200,89,2026-04-04 03:10:59,2026-04-04 08:50:38,64,16.4,331,339,111,108,112,8,599,127,97,65
2026-04-03 02:20:27,2026-04-04 03:10:59,UTC+02:00,67,58,70,34.75,92.23,7.6,2044,150,75,2026-04-03 02:20:27,2026-04-03 08:13:34,69,16.0,339,353,116,120,103,14,593,124,96,67
2026-04-02 01:15:51,2026-04-03 02:20:27,UTC+02:00,81,59,80,34.27,92.42,5.7,1965,148,73,2026-04-02 01:15:51,2026-04-02 07:12:49,70,16.1,347,356,149,97,101,9,597,127,98,69
2026-04-01 00:32:34,2026-04-02 01:15:51,UTC+02:00,59,63,75,34.09,92.50,5.6,1913,152,72,2026-04-01 00:32:34,2026-04-01 04:58:04,48,16.1,251,265,83,119,49,14,536,43,95,44
2026-03-31 00:47:32,2026-04-01 00:32:34,UTC+02:00,73,68,55,34.40,93.45,13.5,2190,159,77,2026-03-31 00:47:32,2026-03-31 08:54:51,79,16.6,473,487,235,111,127,14,559,65,97,72
2026-03-30 01:48:30,2026-03-31 00:47:32,UTC+02:00,67,65,53,34.20,94.53,13.8,2359,166,83,2026-03-30 01:48:30,2026-03-30 08:41:13,79,16.6,403,412,155,139,109,9,533,43,98,74
2026-03-29 01:58:29,2026-03-30 01:48:30,UTC+02:00,90,60,66,34.60,93.37,13.1,2454,164,82,2026-03-29 01:58:29,2026-03-29 10:30:48,85,15.9,490,512,204,138,148,22,558,64,96,76
2026-03-28 02:45:27,2026-03-29 00:58:29,UTC+01:00,36,70,33,34.11,93.31,13.7,1918,162,80,2026-03-28 02:45:27,2026-03-28 09:06:39,75,16.6,376,381,140,113,123,5,504,31,98,
2026-03-27 00:30:08,2026-03-28 02:45:27,UTC+01:00,31,68,32,34.73,92.94,8.5,2189,134,80,2026-03-27 00:30:08,2026-03-27 08:16:14,87,17.0,449,466,182,146,121,17,511,0,96,
2026-03-26 00:00:00,2026-03-27 00:30:08,UTC+01:00,,,,,,9.1,992,145,86,,,,,,,,,,,,,,
